Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  A_\rho_252658(X) : Vertex V_1:AntiPart  OffShell c(X_3), A(X_4),  OffShell c(V_1), Vertex V_0:A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\nu_261356*gamma_{%\sigma_261252,%eta_234266,%alpha_120426}*A_{l_91951,+%\nu_261356}(p_2)*A_{j_91953,+%\sigma_261252}(p_4)^(*)*c_{i_91953,%alpha_120426}(p_3)_v*c_{k_91951,%eta_234266}(p_1)_v^(*) + 1/2*p_2_%\rho_252644*gamma_{%\nu_261356,%eta_234269,%eta_234296}*gamma_{+%\rho_252644,%eta_234296,%eta_234297}*gamma_{%\sigma_261252,%eta_234297,%alpha_120428}*A_{l_91951,+%\nu_261356}(p_2)*A_{j_91953,+%\sigma_261252}(p_4)^(*)*c_{i_91953,%alpha_120428}(p_3)_v*c_{k_91951,%eta_234269}(p_1)_v^(*))/(s_12 + 1/2*reg_prop) : 32/81*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_c^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  A_\rho_252658(X) : Vertex V_0:AntiPart c(X_1), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_2), AntiPart  OffShell c(X_3),  OffShell c(V_1), : 4/9*i*e^2*(m_c*gamma_{%\nu_261385,%eta_234377,%alpha_120466}*gamma_{%\sigma_261281,%eta_234315,%eta_234377}*A_{l_91951,+%\nu_261385}(p_2)*A_{j_91953,+%\sigma_261281}(p_4)^(*)*c_{i_91953,%alpha_120466}(p_3)_v*c_{k_91951,%eta_234315}(p_1)_v^(*) + p_2_%\nu_261387*gamma_{%\nu_261385,%eta_234379,%alpha_120469}*gamma_{+%\nu_261387,%eta_234378,%eta_234379}*gamma_{%\sigma_261281,%eta_234323,%eta_234378}*A_{l_91951,+%\nu_261385}(p_2)*A_{j_91953,+%\sigma_261281}(p_4)^(*)*c_{i_91953,%alpha_120469}(p_3)_v*c_{k_91951,%eta_234323}(p_1)_v^(*) + -p_3_%\nu_261387*gamma_{%\nu_261385,%eta_234381,%alpha_120470}*gamma_{+%\nu_261387,%eta_234380,%eta_234381}*gamma_{%\sigma_261281,%eta_234326,%eta_234380}*A_{l_91951,+%\nu_261385}(p_2)*A_{j_91953,+%\sigma_261281}(p_4)^(*)*c_{i_91953,%alpha_120470}(p_3)_v*c_{k_91951,%eta_234326}(p_1)_v^(*))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) : 256/81*e^4*m_c^2*(m_c^2 + 1/4*s_13)*(m_c^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*(64*m_c^2 + 16*s_13)*s_33/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_c^2*(s_13 + s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -128/81*i*e^2*(i*e^2*s_12*s_23/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*m_c^2*(s_12 + s_23)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*(16*m_c^2*s_23 + 4*s_12*s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  OffShell A_\sigma_261516(X) : Vertex V_1:AntiPart  OffShell c(X_3),  OffShell A(X_4),  OffShell c(V_1), Vertex V_0:A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\nu_261722*gamma_{%\lambda_277413,%eta_235086,%del_97194}*A_{j_91983,+%\lambda_277413}(p_4)^(*)*A_{l_91981,+%\nu_261722}(p_2)*c_{i_91983,%del_97194}(p_3)_v*c_{k_91981,%eta_235086}(p_1)_v^(*) + 1/2*p_2_%\sigma_261502*gamma_{%\lambda_277413,%eta_235107,%del_97196}*gamma_{%\nu_261722,%eta_235089,%eta_235106}*gamma_{+%\sigma_261502,%eta_235106,%eta_235107}*A_{j_91983,+%\lambda_277413}(p_4)^(*)*A_{l_91981,+%\nu_261722}(p_2)*c_{i_91983,%del_97196}(p_3)_v*c_{k_91981,%eta_235089}(p_1)_v^(*))/(s_12 + 1/2*reg_prop) : 32/81*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_c^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  OffShell A_\sigma_261516(X) : Vertex V_0:AntiPart c(X_1),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_2), AntiPart  OffShell c(X_3),  OffShell c(V_1), : 4/9*i*e^2*(m_c*gamma_{%\lambda_277440,%eta_235125,%eta_235187}*gamma_{%\nu_261749,%eta_235187,%del_97223}*A_{j_91983,+%\lambda_277440}(p_4)^(*)*A_{l_91981,+%\nu_261749}(p_2)*c_{i_91983,%del_97223}(p_3)_v*c_{k_91981,%eta_235125}(p_1)_v^(*) + p_2_%\rho_252758*gamma_{%\lambda_277440,%eta_235133,%eta_235188}*gamma_{%\nu_261749,%eta_235189,%del_97226}*gamma_{+%\rho_252758,%eta_235188,%eta_235189}*A_{j_91983,+%\lambda_277440}(p_4)^(*)*A_{l_91981,+%\nu_261749}(p_2)*c_{i_91983,%del_97226}(p_3)_v*c_{k_91981,%eta_235133}(p_1)_v^(*) + -p_3_%\rho_252758*gamma_{%\lambda_277440,%eta_235136,%eta_235190}*gamma_{%\nu_261749,%eta_235191,%del_97227}*gamma_{+%\rho_252758,%eta_235190,%eta_235191}*A_{j_91983,+%\lambda_277440}(p_4)^(*)*A_{l_91981,+%\nu_261749}(p_2)*c_{i_91983,%del_97227}(p_3)_v*c_{k_91981,%eta_235136}(p_1)_v^(*))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) : 256/81*e^4*m_c^2*(m_c^2 + 1/4*s_13)*(m_c^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*(64*m_c^2 + 16*s_13)*s_33/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_c^2*(s_13 + s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -128/81*i*e^2*(i*e^2*s_12*s_23/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*m_c^2*(s_12 + s_23)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*(16*m_c^2*s_23 + 4*s_12*s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  AntiPart A_\lambda_277737(X) : Vertex V_1:AntiPart  OffShell c(X_3), A(X_4),  OffShell c(V_1), Vertex V_0:A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\nu_261971*gamma_{%\tau_264404,%eta_235888,%del_97582}*A_{j_92013,+%\tau_264404}(p_4)^(*)*A_{l_92011,+%\nu_261971}(p_2)*c_{i_92013,%del_97582}(p_3)_v*c_{k_92011,%eta_235888}(p_1)_v^(*) + 1/2*p_2_%\lambda_277715*gamma_{+%\lambda_277715,%eta_235920,%eta_235921}*gamma_{%\nu_261971,%eta_235891,%eta_235920}*gamma_{%\tau_264404,%eta_235921,%del_97584}*A_{j_92013,+%\tau_264404}(p_4)^(*)*A_{l_92011,+%\nu_261971}(p_2)*c_{i_92013,%del_97584}(p_3)_v*c_{k_92011,%eta_235891}(p_1)_v^(*))/(s_12 + 1/2*reg_prop) : 32/81*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_c^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  AntiPart A_\lambda_277737(X) : Vertex V_0:AntiPart c(X_1), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_2), AntiPart  OffShell c(X_3),  OffShell c(V_1), : 4/9*i*e^2*(m_c*gamma_{%\nu_262003,%eta_236001,%del_97614}*gamma_{%\tau_264433,%eta_235939,%eta_236001}*A_{j_92013,+%\tau_264433}(p_4)^(*)*A_{l_92011,+%\nu_262003}(p_2)*c_{i_92013,%del_97614}(p_3)_v*c_{k_92011,%eta_235939}(p_1)_v^(*) + p_2_%\sigma_261623*gamma_{%\nu_262003,%eta_236003,%del_97617}*gamma_{+%\sigma_261623,%eta_236002,%eta_236003}*gamma_{%\tau_264433,%eta_235947,%eta_236002}*A_{j_92013,+%\tau_264433}(p_4)^(*)*A_{l_92011,+%\nu_262003}(p_2)*c_{i_92013,%del_97617}(p_3)_v*c_{k_92011,%eta_235947}(p_1)_v^(*) + -p_3_%\sigma_261623*gamma_{%\nu_262003,%eta_236005,%del_97618}*gamma_{+%\sigma_261623,%eta_236004,%eta_236005}*gamma_{%\tau_264433,%eta_235950,%eta_236004}*A_{j_92013,+%\tau_264433}(p_4)^(*)*A_{l_92011,+%\nu_262003}(p_2)*c_{i_92013,%del_97618}(p_3)_v*c_{k_92011,%eta_235950}(p_1)_v^(*))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) : 256/81*e^4*m_c^2*(m_c^2 + 1/4*s_13)*(m_c^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*(64*m_c^2 + 16*s_13)*s_33/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_c^2*(s_13 + s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -128/81*i*e^2*(i*e^2*s_12*s_23/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*m_c^2*(s_12 + s_23)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*(16*m_c^2*s_23 + 4*s_12*s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  AntiPart OffShell A_\tau_264674(X) : Vertex V_1:AntiPart  OffShell c(X_3),  OffShell A(X_4),  OffShell c(V_1), Vertex V_0:A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_1_%\nu_262220*gamma_{%\mu_253560,%eta_236718,%del_97984}*A_{j_92043,+%\mu_253560}(p_4)^(*)*A_{l_92041,+%\nu_262220}(p_2)*c_{k_92041,%eta_236718}(p_1)_v^(*)*c_{i_92043,%del_97984}(p_3)_v + 1/2*p_2_%\tau_264654*gamma_{%\mu_253560,%eta_236739,%del_97986}*gamma_{%\nu_262220,%eta_236721,%eta_236738}*gamma_{+%\tau_264654,%eta_236738,%eta_236739}*A_{j_92043,+%\mu_253560}(p_4)^(*)*A_{l_92041,+%\nu_262220}(p_2)*c_{k_92041,%eta_236721}(p_1)_v^(*)*c_{i_92043,%del_97986}(p_3)_v)/(s_12 + 1/2*reg_prop) : 32/81*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_c^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  A_\nu_260672(X)  to  AntiPart OffShell c_del_97057(X)^(*)  AntiPart OffShell A_\tau_264674(X) : Vertex V_0:AntiPart c(X_1),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_2), AntiPart  OffShell c(X_3),  OffShell c(V_1), : 4/9*i*e^2*(p_2_%\lambda_277892*gamma_{+%\lambda_277892,%eta_236819,%eta_236820}*gamma_{%\mu_253587,%eta_236763,%eta_236819}*gamma_{%\nu_262247,%eta_236820,%del_98015}*A_{j_92043,+%\mu_253587}(p_4)^(*)*A_{l_92041,+%\nu_262247}(p_2)*c_{k_92041,%eta_236763}(p_1)_v^(*)*c_{i_92043,%del_98015}(p_3)_v + -p_3_%\lambda_277892*gamma_{+%\lambda_277892,%eta_236821,%eta_236822}*gamma_{%\mu_253587,%eta_236766,%eta_236821}*gamma_{%\nu_262247,%eta_236822,%del_98016}*A_{j_92043,+%\mu_253587}(p_4)^(*)*A_{l_92041,+%\nu_262247}(p_2)*c_{k_92041,%eta_236766}(p_1)_v^(*)*c_{i_92043,%del_98016}(p_3)_v + m_c*gamma_{%\mu_253587,%eta_236769,%eta_236823}*gamma_{%\nu_262247,%eta_236823,%del_98017}*A_{j_92043,+%\mu_253587}(p_4)^(*)*A_{l_92041,+%\nu_262247}(p_2)*c_{k_92041,%eta_236769}(p_1)_v^(*)*c_{i_92043,%del_98017}(p_3)_v)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) : 256/81*e^4*m_c^2*(m_c^2 + 1/4*s_13)*(m_c^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*(64*m_c^2 + 16*s_13)*s_33/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_c^2*(s_13 + s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -128/81*i*e^2*(i*e^2*s_12*s_23/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*m_c^2*(s_12 + s_23)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*(16*m_c^2*s_23 + 4*s_12*s_33)/(m_c^2 + 2*s_23 + -s_33 + -reg_prop))/(m_c^2 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  A_\rho_253110(X) : Vertex V_0:AntiPart c(X_1), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1: OffShell A(X_2), AntiPart c(X_3),  OffShell c(V_1), : 8/9*i*e^2*(p_1_%\mu_253855*gamma_{%\tau_264809,%eta_237542,%gam_123775}*A_{j_92089,+%\mu_253855}(p_4)^(*)*A_{l_92087,+%\tau_264809}(p_2)*c_{k_92087,%eta_237542}(p_1)_v^(*)*c_{i_92089,%gam_123775}(p_3)_v + -1/2*p_4_%\tau_264811*gamma_{%\mu_253855,%eta_237545,%eta_237572}*gamma_{%\tau_264809,%eta_237573,%gam_123777}*gamma_{+%\tau_264811,%eta_237572,%eta_237573}*A_{j_92089,+%\mu_253855}(p_4)^(*)*A_{l_92087,+%\tau_264809}(p_2)*c_{k_92087,%eta_237545}(p_1)_v^(*)*c_{i_92089,%gam_123777}(p_3)_v)/(s_22 + (-2)*s_23 + reg_prop) : 128/81*e^4*s_14*s_34*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -256/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + (-8)*s_34)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  A_\rho_253110(X) : Vertex V_1:AntiPart c(X_3), A(X_4),  OffShell c(V_1), Vertex V_0: OffShell A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_3_%\mu_253880*gamma_{%\tau_264855,%eta_237599,%gam_123810}*A_{j_92089,+%\mu_253880}(p_4)^(*)*A_{l_92087,+%\tau_264855}(p_2)*c_{k_92087,%eta_237599}(p_1)_v^(*)*c_{i_92089,%gam_123810}(p_3)_v + 1/2*p_4_%\lambda_278179*gamma_{+%\lambda_278179,%eta_237625,%eta_237626}*gamma_{%\mu_253880,%eta_237626,%gam_123812}*gamma_{%\tau_264855,%eta_237602,%eta_237625}*A_{j_92089,+%\mu_253880}(p_4)^(*)*A_{l_92087,+%\tau_264855}(p_2)*c_{k_92087,%eta_237602}(p_1)_v^(*)*c_{i_92089,%gam_123812}(p_3)_v)/(s_12 + 1/2*s_22 + 1/2*reg_prop) : 32/81*e^4*s_14*s_34*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + -1/2*i*e^2*m_c^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  OffShell A_\nu_262624(X) : Vertex V_1:AntiPart c(X_3),  OffShell A(X_4),  OffShell c(V_1), Vertex V_0: OffShell A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_3_%\mu_254049*gamma_{%\nu_262558,%eta_238024,%beta_78745}*A_{l_92117,+%\nu_262558}(p_2)*A_{j_92119,+%\mu_254049}(p_4)^(*)*c_{i_92119,%beta_78745}(p_3)_v*c_{k_92117,%eta_238024}(p_1)_v^(*) + 1/2*p_4_%\tau_265058*gamma_{%\mu_254049,%eta_238051,%beta_78747}*gamma_{%\nu_262558,%eta_238027,%eta_238050}*gamma_{+%\tau_265058,%eta_238050,%eta_238051}*A_{l_92117,+%\nu_262558}(p_2)*A_{j_92119,+%\mu_254049}(p_4)^(*)*c_{i_92119,%beta_78747}(p_3)_v*c_{k_92117,%eta_238027}(p_1)_v^(*))/(s_12 + 1/2*s_22 + 1/2*reg_prop) : 32/81*e^4*(s_14*s_34 + 2*m_c^2*s_44 + -1/2*s_13*s_44)*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + -1/2*i*e^2*m_c^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  OffShell A_\nu_262624(X) : Vertex V_0:AntiPart c(X_1),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1: OffShell A(X_2), AntiPart c(X_3),  OffShell c(V_1), : 8/9*i*e^2*(p_1_%\mu_254074*gamma_{%\nu_262595,%eta_238075,%beta_78783}*A_{l_92117,+%\nu_262595}(p_2)*A_{j_92119,+%\mu_254074}(p_4)^(*)*c_{i_92119,%beta_78783}(p_3)_v*c_{k_92117,%eta_238075}(p_1)_v^(*) + -1/2*p_4_%\lambda_278335*gamma_{+%\lambda_278335,%eta_238107,%eta_238108}*gamma_{%\mu_254074,%eta_238078,%eta_238107}*gamma_{%\nu_262595,%eta_238108,%beta_78785}*A_{l_92117,+%\nu_262595}(p_2)*A_{j_92119,+%\mu_254074}(p_4)^(*)*c_{i_92119,%beta_78785}(p_3)_v*c_{k_92117,%eta_238078}(p_1)_v^(*))/(s_22 + (-2)*s_23 + reg_prop) : 128/81*e^4*(s_14*s_34 + 2*m_c^2*s_44 + -1/2*s_13*s_44)*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -256/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + (-8)*s_34)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  AntiPart A_\lambda_278497(X) : Vertex V_1:AntiPart c(X_3), A(X_4),  OffShell c(V_1), Vertex V_0: OffShell A(X_2), AntiPart c(X_1), AntiPart  OffShell c(V_0), : 4/9*i*e^2*(p_3_%\sigma_262042*gamma_{%\nu_262761,%eta_238506,%beta_78989}*A_{j_92149,+%\sigma_262042}(p_4)^(*)*A_{l_92147,+%\nu_262761}(p_2)*c_{k_92147,%eta_238506}(p_1)_v^(*)*c_{i_92149,%beta_78989}(p_3)_v + 1/2*p_4_%\rho_253205*gamma_{%\nu_262761,%eta_238509,%eta_238530}*gamma_{+%\rho_253205,%eta_238530,%eta_238531}*gamma_{%\sigma_262042,%eta_238531,%beta_78991}*A_{j_92149,+%\sigma_262042}(p_4)^(*)*A_{l_92147,+%\nu_262761}(p_2)*c_{k_92147,%eta_238509}(p_1)_v^(*)*c_{i_92149,%beta_78991}(p_3)_v)/(s_12 + 1/2*s_22 + 1/2*reg_prop) : 32/81*e^4*s_14*s_34*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + -1/2*i*e^2*m_c^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  AntiPart A_\lambda_278497(X) : Vertex V_0:AntiPart c(X_1), A(X_4), AntiPart  OffShell c(V_0), Vertex V_1: OffShell A(X_2), AntiPart c(X_3),  OffShell c(V_1), : 8/9*i*e^2*(p_1_%\sigma_262061*gamma_{%\nu_262792,%eta_238555,%beta_79018}*A_{j_92149,+%\sigma_262061}(p_4)^(*)*A_{l_92147,+%\nu_262792}(p_2)*c_{k_92147,%eta_238555}(p_1)_v^(*)*c_{i_92149,%beta_79018}(p_3)_v + -1/2*p_4_%\nu_262794*gamma_{%\nu_262792,%eta_238576,%beta_79020}*gamma_{+%\nu_262794,%eta_238575,%eta_238576}*gamma_{%\sigma_262061,%eta_238558,%eta_238575}*A_{j_92149,+%\sigma_262061}(p_4)^(*)*A_{l_92147,+%\nu_262792}(p_2)*c_{k_92147,%eta_238558}(p_1)_v^(*)*c_{i_92149,%beta_79020}(p_3)_v)/(s_22 + (-2)*s_23 + reg_prop) : 128/81*e^4*s_14*s_34*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -256/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + (-8)*s_34)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
Interaction:  AntiPart c_alpha_119850(X)  OffShell A_\nu_262515(X)  to  AntiPart c_beta_78696(X)^(*)  AntiPart OffShell A_\nu_263063(X) : Vertex V_0:AntiPart c(X_1),  OffShell A(X_4), AntiPart  OffShell c(V_0), Vertex V_1: OffShell A(X_2), AntiPart c(X_3),  OffShell c(V_1), : 8/9*i*e^2*(p_1_%\mu_254295*gamma_{%\nu_262997,%eta_238986,%beta_79231}*A_{j_92179,+%\mu_254295}(p_4)^(*)*A_{l_92177,+%\nu_262997}(p_2)*c_{k_92177,%eta_238986}(p_1)_v^(*)*c_{i_92179,%beta_79231}(p_3)_v + -1/2*p_4_%\tau_265219*gamma_{%\mu_254295,%eta_238989,%eta_239016}*gamma_{%\nu_262997,%eta_239017,%beta_79233}*gamma_{+%\tau_265219,%eta_239016,%eta_239017}*A_{j_92179,+%\mu_254295}(p_4)^(*)*A_{l_92177,+%\nu_262997}(p_2)*c_{k_92177,%eta_238989}(p_1)_v^(*)*c_{i_92179,%beta_79233}(p_3)_v)/(s_22 + (-2)*s_23 + reg_prop) : 128/81*e^4*(s_14*s_34 + 2*m_c^2*s_44 + -1/2*s_13*s_44)*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -256/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + (-8)*s_34)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
