Interaction:  d_gam_189(X)^(*)  AntiPart d_del_184(X)  to  e_eps_85(X)  AntiPart e_eta_152(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1), : -1/6*i*e^2*gamma_{%\sigma_325,%gam_186,%del_182}*gamma_{+%\sigma_325,%gam_187,%eps_82}*d_{k_71,%eps_82}(p_1)_u*d_{l_71,%gam_187}(p_2)_v^(*)*e_{i_73,%gam_186}(p_3)_u^(*)*e_{j_73,%del_182}(p_4)_v/(m_d^2 + s_12 + 1/2*reg_prop) : 1/36*e^4*(16*m_d^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  d_beta_119238(X)  AntiPart OffShell A_\nu_494733(X) : Vertex V_0: OffShell A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(p_2_%\mu_442629*gamma_{+%\mu_442629,%gam_299165,%gam_299166}*gamma_{%\nu_494684,%gam_299104,%gam_299165}*gamma_{%\rho_450970,%gam_299166,%gam_299105}*A_{l_170457,+%\nu_494684}(p_2)*A_{j_170459,+%\rho_450970}(p_4)^(*)*d_{k_170457,%gam_299105}(p_1)_u*d_{i_170459,%gam_299104}(p_3)_u^(*) + (-2)*p_3_%\nu_494684*gamma_{%\rho_450970,%gam_299113,%gam_299114}*A_{l_170457,+%\nu_494684}(p_2)*A_{j_170459,+%\rho_450970}(p_4)^(*)*d_{k_170457,%gam_299114}(p_1)_u*d_{i_170459,%gam_299113}(p_3)_u^(*))/(s_22 + (-2)*s_23 + reg_prop) : 1/81*e^4*(16*m_d^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -16/81*i*e^2*(i*e^2*m_d^2*(m_d^2 + -1/2*s_13)/(s_22 + (-2)*s_23 + reg_prop) + 1/2*i*e^2*m_d^2*(s_12 + (-2)*s_23)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  A_\rho_451207(X) : Vertex V_0: OffShell A(X_2),  OffShell d(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1), A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_495074,%gam_300090,%gam_300176}*gamma_{%\sigma_458222,%gam_300176,%gam_300091}*A_{l_170487,+%\nu_495074}(p_2)*A_{j_170489,+%\sigma_458222}(p_4)^(*)*d_{k_170487,%gam_300091}(p_1)_u*d_{i_170489,%gam_300090}(p_3)_u^(*) + -p_2_%\rho_451182*gamma_{%\nu_495074,%gam_300101,%gam_300177}*gamma_{+%\rho_451182,%gam_300177,%gam_300178}*gamma_{%\sigma_458222,%gam_300178,%gam_300102}*A_{l_170487,+%\nu_495074}(p_2)*A_{j_170489,+%\sigma_458222}(p_4)^(*)*d_{k_170487,%gam_300102}(p_1)_u*d_{i_170489,%gam_300101}(p_3)_u^(*) + p_3_%\rho_451182*gamma_{%\nu_495074,%gam_300105,%gam_300179}*gamma_{+%\rho_451182,%gam_300179,%gam_300180}*gamma_{%\sigma_458222,%gam_300180,%gam_300106}*A_{l_170487,+%\nu_495074}(p_2)*A_{j_170489,+%\sigma_458222}(p_4)^(*)*d_{k_170487,%gam_300106}(p_1)_u*d_{i_170489,%gam_300105}(p_3)_u^(*))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*(64*m_d^2 + 16*s_13)*s_33/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_d^2*(s_13 + s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*m_d^2*(s_12 + s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_d^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_d^2*s_23 + 4*s_12*s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  A_\rho_451207(X) : Vertex V_0: OffShell d(X_3), A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_2),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_495125,%gam_300293,%gam_300208}*gamma_{%\sigma_458248,%gam_300207,%gam_300293}*A_{l_170487,+%\nu_495125}(p_2)*A_{j_170489,+%\sigma_458248}(p_4)^(*)*d_{k_170487,%gam_300208}(p_1)_u*d_{i_170489,%gam_300207}(p_3)_u^(*) + p_1_%\nu_495126*gamma_{%\nu_495125,%gam_300295,%gam_300219}*gamma_{+%\nu_495126,%gam_300294,%gam_300295}*gamma_{%\sigma_458248,%gam_300218,%gam_300294}*A_{l_170487,+%\nu_495125}(p_2)*A_{j_170489,+%\sigma_458248}(p_4)^(*)*d_{k_170487,%gam_300219}(p_1)_u*d_{i_170489,%gam_300218}(p_3)_u^(*) + p_2_%\nu_495126*gamma_{%\nu_495125,%gam_300297,%gam_300223}*gamma_{+%\nu_495126,%gam_300296,%gam_300297}*gamma_{%\sigma_458248,%gam_300222,%gam_300296}*A_{l_170487,+%\nu_495125}(p_2)*A_{j_170489,+%\sigma_458248}(p_4)^(*)*d_{k_170487,%gam_300223}(p_1)_u*d_{i_170489,%gam_300222}(p_3)_u^(*))/(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 64*m_d^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  OffShell A_\sigma_458542(X) : Vertex V_0: OffShell A(X_2),  OffShell d(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_495583,%gam_301574,%gam_301660}*gamma_{%\nu_495584,%gam_301660,%gam_301575}*A_{l_170515,+%\nu_495583}(p_2)*A_{j_170517,+%\nu_495584}(p_4)^(*)*d_{k_170515,%gam_301575}(p_1)_u*d_{i_170517,%gam_301574}(p_3)_u^(*) + -p_2_%\sigma_458517*gamma_{%\nu_495583,%gam_301585,%gam_301661}*gamma_{%\nu_495584,%gam_301662,%gam_301586}*gamma_{+%\sigma_458517,%gam_301661,%gam_301662}*A_{l_170515,+%\nu_495583}(p_2)*A_{j_170517,+%\nu_495584}(p_4)^(*)*d_{k_170515,%gam_301586}(p_1)_u*d_{i_170517,%gam_301585}(p_3)_u^(*) + p_3_%\sigma_458517*gamma_{%\nu_495583,%gam_301589,%gam_301663}*gamma_{%\nu_495584,%gam_301664,%gam_301590}*gamma_{+%\sigma_458517,%gam_301663,%gam_301664}*A_{l_170515,+%\nu_495583}(p_2)*A_{j_170517,+%\nu_495584}(p_4)^(*)*d_{k_170515,%gam_301590}(p_1)_u*d_{i_170517,%gam_301589}(p_3)_u^(*))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*(64*m_d^2 + 16*s_13)*s_33/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_d^2*(s_13 + s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*m_d^2*(s_12 + s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_d^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_d^2*s_23 + 4*s_12*s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  OffShell A_\sigma_458542(X) : Vertex V_0: OffShell d(X_3),  OffShell A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_2),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_495655,%gam_301691,%gam_301777}*gamma_{%\nu_495656,%gam_301777,%gam_301692}*A_{l_170515,+%\nu_495656}(p_2)*A_{j_170517,+%\nu_495655}(p_4)^(*)*d_{k_170515,%gam_301692}(p_1)_u*d_{i_170517,%gam_301691}(p_3)_u^(*) + p_1_%\rho_451371*gamma_{%\nu_495655,%gam_301702,%gam_301778}*gamma_{%\nu_495656,%gam_301779,%gam_301703}*gamma_{+%\rho_451371,%gam_301778,%gam_301779}*A_{l_170515,+%\nu_495656}(p_2)*A_{j_170517,+%\nu_495655}(p_4)^(*)*d_{k_170515,%gam_301703}(p_1)_u*d_{i_170517,%gam_301702}(p_3)_u^(*) + p_2_%\rho_451371*gamma_{%\nu_495655,%gam_301706,%gam_301780}*gamma_{%\nu_495656,%gam_301781,%gam_301707}*gamma_{+%\rho_451371,%gam_301780,%gam_301781}*A_{l_170515,+%\nu_495656}(p_2)*A_{j_170517,+%\nu_495655}(p_4)^(*)*d_{k_170515,%gam_301707}(p_1)_u*d_{i_170517,%gam_301706}(p_3)_u^(*))/(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 64*m_d^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  AntiPart A_\lambda_445526(X) : Vertex V_1: OffShell d(X_3), A(X_4), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_1),  OffShell A(X_2),  OffShell d(V_0), : 1/9*i*e^2*(m_d*gamma_{%\nu_496188,%gam_303128,%gam_303043}*gamma_{%\tau_460153,%gam_303042,%gam_303128}*A_{l_170543,+%\nu_496188}(p_2)*A_{j_170545,+%\tau_460153}(p_4)^(*)*d_{i_170545,%gam_303042}(p_3)_u^(*)*d_{k_170543,%gam_303043}(p_1)_u + p_1_%\lambda_445499*gamma_{+%\lambda_445499,%gam_303129,%gam_303130}*gamma_{%\nu_496188,%gam_303130,%gam_303054}*gamma_{%\tau_460153,%gam_303053,%gam_303129}*A_{l_170543,+%\nu_496188}(p_2)*A_{j_170545,+%\tau_460153}(p_4)^(*)*d_{i_170545,%gam_303053}(p_3)_u^(*)*d_{k_170543,%gam_303054}(p_1)_u + p_2_%\lambda_445499*gamma_{+%\lambda_445499,%gam_303131,%gam_303132}*gamma_{%\nu_496188,%gam_303132,%gam_303058}*gamma_{%\tau_460153,%gam_303057,%gam_303131}*A_{l_170543,+%\nu_496188}(p_2)*A_{j_170545,+%\tau_460153}(p_4)^(*)*d_{i_170545,%gam_303057}(p_3)_u^(*)*d_{k_170543,%gam_303058}(p_1)_u)/(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 64*m_d^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  AntiPart A_\lambda_445526(X) : Vertex V_1: OffShell A(X_2),  OffShell d(X_3), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_1), A(X_4),  OffShell d(V_0), : 1/9*i*e^2*(m_d*gamma_{%\nu_496237,%gam_303159,%gam_303245}*gamma_{%\tau_460179,%gam_303245,%gam_303160}*A_{l_170543,+%\nu_496237}(p_2)*A_{j_170545,+%\tau_460179}(p_4)^(*)*d_{i_170545,%gam_303159}(p_3)_u^(*)*d_{k_170543,%gam_303160}(p_1)_u + -p_2_%\sigma_458713*gamma_{%\nu_496237,%gam_303170,%gam_303246}*gamma_{+%\sigma_458713,%gam_303246,%gam_303247}*gamma_{%\tau_460179,%gam_303247,%gam_303171}*A_{l_170543,+%\nu_496237}(p_2)*A_{j_170545,+%\tau_460179}(p_4)^(*)*d_{i_170545,%gam_303170}(p_3)_u^(*)*d_{k_170543,%gam_303171}(p_1)_u + p_3_%\sigma_458713*gamma_{%\nu_496237,%gam_303174,%gam_303248}*gamma_{+%\sigma_458713,%gam_303248,%gam_303249}*gamma_{%\tau_460179,%gam_303249,%gam_303175}*A_{l_170543,+%\nu_496237}(p_2)*A_{j_170545,+%\tau_460179}(p_4)^(*)*d_{i_170545,%gam_303174}(p_3)_u^(*)*d_{k_170543,%gam_303175}(p_1)_u)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*(64*m_d^2 + 16*s_13)*s_33/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_d^2*(s_13 + s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*m_d^2*(s_12 + s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_d^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_d^2*s_23 + 4*s_12*s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  AntiPart OffShell A_\tau_460473(X) : Vertex V_0: OffShell A(X_2),  OffShell d(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_4),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_496578,%gam_304514,%gam_304600}*gamma_{%\nu_496579,%gam_304600,%gam_304515}*A_{j_170573,+%\nu_496579}(p_4)^(*)*A_{l_170571,+%\nu_496578}(p_2)*d_{i_170573,%gam_304514}(p_3)_u^(*)*d_{k_170571,%gam_304515}(p_1)_u + -p_2_%\tau_460448*gamma_{%\nu_496578,%gam_304525,%gam_304601}*gamma_{%\nu_496579,%gam_304602,%gam_304526}*gamma_{+%\tau_460448,%gam_304601,%gam_304602}*A_{j_170573,+%\nu_496579}(p_4)^(*)*A_{l_170571,+%\nu_496578}(p_2)*d_{i_170573,%gam_304525}(p_3)_u^(*)*d_{k_170571,%gam_304526}(p_1)_u + p_3_%\tau_460448*gamma_{%\nu_496578,%gam_304529,%gam_304603}*gamma_{%\nu_496579,%gam_304604,%gam_304530}*gamma_{+%\tau_460448,%gam_304603,%gam_304604}*A_{j_170573,+%\nu_496579}(p_4)^(*)*A_{l_170571,+%\nu_496578}(p_2)*d_{i_170573,%gam_304529}(p_3)_u^(*)*d_{k_170571,%gam_304530}(p_1)_u)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*(64*m_d^2 + 16*s_13)*s_33/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_d^2*(s_13 + s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -16/81*i*e^2*(i*e^2*m_d^2*(s_12 + s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_d^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_d^2*s_23 + 4*s_12*s_33)/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_d^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  OffShell A_\nu_493374(X)  to  OffShell d_beta_119687(X)  AntiPart OffShell A_\tau_460473(X) : Vertex V_0: OffShell d(X_3),  OffShell A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1),  OffShell A(X_2),  OffShell d(V_1), : 1/9*i*e^2*(p_1_%\lambda_445697*gamma_{+%\lambda_445697,%gam_304717,%gam_304718}*gamma_{%\nu_496654,%gam_304639,%gam_304717}*gamma_{%\nu_496655,%gam_304718,%gam_304640}*A_{j_170573,+%\nu_496654}(p_4)^(*)*A_{l_170571,+%\nu_496655}(p_2)*d_{i_170573,%gam_304639}(p_3)_u^(*)*d_{k_170571,%gam_304640}(p_1)_u + p_2_%\lambda_445697*gamma_{+%\lambda_445697,%gam_304719,%gam_304720}*gamma_{%\nu_496654,%gam_304643,%gam_304719}*gamma_{%\nu_496655,%gam_304720,%gam_304644}*A_{j_170573,+%\nu_496654}(p_4)^(*)*A_{l_170571,+%\nu_496655}(p_2)*d_{i_170573,%gam_304643}(p_3)_u^(*)*d_{k_170571,%gam_304644}(p_1)_u + m_d*gamma_{%\nu_496654,%gam_304647,%gam_304721}*gamma_{%\nu_496655,%gam_304721,%gam_304648}*A_{j_170573,+%\nu_496654}(p_4)^(*)*A_{l_170571,+%\nu_496655}(p_2)*d_{i_170573,%gam_304647}(p_3)_u^(*)*d_{k_170571,%gam_304648}(p_1)_u)/(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 64*m_d^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  AntiPart A_\sigma_459074(X)  to  d_eta_146781(X)  A_\lambda_445942(X) : Vertex V_0:d(X_3), A(X_4), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1), A(X_2),  OffShell d(V_1), : 1/9*i*e^2*(m_d*gamma_{%\nu_497203,%gam_305981,%gam_306070}*gamma_{%\sigma_458999,%gam_306070,%gam_305982}*A_{l_170615,+%\sigma_458999}(p_2)*A_{j_170617,+%\nu_497203}(p_4)^(*)*d_{i_170617,%gam_305981}(p_3)_u^(*)*d_{k_170615,%gam_305982}(p_1)_u + p_1_%\sigma_459001*gamma_{%\nu_497203,%gam_305992,%gam_306071}*gamma_{%\sigma_458999,%gam_306072,%gam_305993}*gamma_{+%\sigma_459001,%gam_306071,%gam_306072}*A_{l_170615,+%\sigma_458999}(p_2)*A_{j_170617,+%\nu_497203}(p_4)^(*)*d_{i_170617,%gam_305992}(p_3)_u^(*)*d_{k_170615,%gam_305993}(p_1)_u + p_2_%\sigma_459001*gamma_{%\nu_497203,%gam_305996,%gam_306073}*gamma_{%\sigma_458999,%gam_306074,%gam_305997}*gamma_{+%\sigma_459001,%gam_306073,%gam_306074}*A_{l_170615,+%\sigma_458999}(p_2)*A_{j_170617,+%\nu_497203}(p_4)^(*)*d_{i_170617,%gam_305996}(p_3)_u^(*)*d_{k_170615,%gam_305997}(p_1)_u)/(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  AntiPart A_\sigma_459074(X)  to  d_eta_146781(X)  A_\lambda_445942(X) : Vertex V_0:A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1: OffShell d(X_1), A(X_4),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\rho_451721*gamma_{%\nu_497234,%gam_306157,%gam_306107}*gamma_{+%\rho_451721,%gam_306156,%gam_306157}*gamma_{%\sigma_459049,%gam_306106,%gam_306156}*A_{l_170615,+%\sigma_459049}(p_2)*A_{j_170617,+%\nu_497234}(p_4)^(*)*d_{i_170617,%gam_306106}(p_3)_u^(*)*d_{k_170615,%gam_306107}(p_1)_u + (-2)*p_3_%\sigma_459049*gamma_{%\nu_497234,%gam_306115,%gam_306116}*A_{l_170615,+%\sigma_459049}(p_2)*A_{j_170617,+%\nu_497234}(p_4)^(*)*d_{i_170617,%gam_306115}(p_3)_u^(*)*d_{k_170615,%gam_306116}(p_1)_u)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_12*s_23*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_d^2*(m_d^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + 1/2*i*e^2*m_d^2*(s_12 + (-2)*s_23)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  OffShell d_gam_286027(X)^(*)  AntiPart A_\sigma_459074(X)  to  d_eta_146781(X)  OffShell A_\nu_497527(X) : Vertex V_1:d(X_3),  OffShell A(X_4), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_1), A(X_2),  OffShell d(V_0), : 1/9*i*e^2*(p_1_%\nu_497479*gamma_{+%\nu_497479,%gam_307174,%gam_307175}*gamma_{%\rho_451822,%gam_307096,%gam_307174}*gamma_{%\sigma_459360,%gam_307175,%gam_307097}*A_{j_170647,+%\rho_451822}(p_4)^(*)*A_{l_170645,+%\sigma_459360}(p_2)*d_{i_170647,%gam_307096}(p_3)_u^(*)*d_{k_170645,%gam_307097}(p_1)_u + p_2_%\nu_497479*gamma_{+%\nu_497479,%gam_307176,%gam_307177}*gamma_{%\rho_451822,%gam_307100,%gam_307176}*gamma_{%\sigma_459360,%gam_307177,%gam_307101}*A_{j_170647,+%\rho_451822}(p_4)^(*)*A_{l_170645,+%\sigma_459360}(p_2)*d_{i_170647,%gam_307100}(p_3)_u^(*)*d_{k_170645,%gam_307101}(p_1)_u + m_d*gamma_{%\rho_451822,%gam_307104,%gam_307178}*gamma_{%\sigma_459360,%gam_307178,%gam_307105}*A_{j_170647,+%\rho_451822}(p_4)^(*)*A_{l_170645,+%\sigma_459360}(p_2)*d_{i_170647,%gam_307104}(p_3)_u^(*)*d_{k_170645,%gam_307105}(p_1)_u)/(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop) : 16/81*e^4*m_d^2*(m_d^2 + 1/4*s_13)*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + 1/324*e^4*(128*m_d^2*s_12 + s_11*(64*m_d^2 + 16*s_13) + 32*s_11*s_23 + 32*s_12*s_23)*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + -16/81*e^4*m_d*(m_d*(s_11 + s_13) + m_d*(s_12 + s_23))*(m_d^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2)
Interaction:  OffShell d_gam_286027(X)^(*)  AntiPart A_\sigma_459074(X)  to  d_eta_146781(X)  OffShell A_\nu_497527(X) : Vertex V_1:A(X_2), d(X_3), AntiPart  OffShell d(V_1), Vertex V_0: OffShell d(X_1),  OffShell A(X_4),  OffShell d(V_0), : -1/18*i*e^2*(p_2_%\mu_443114*gamma_{+%\mu_443114,%gam_307257,%gam_307258}*gamma_{%\rho_451849,%gam_307258,%gam_307210}*gamma_{%\sigma_459394,%gam_307209,%gam_307257}*A_{j_170647,+%\rho_451849}(p_4)^(*)*A_{l_170645,+%\sigma_459394}(p_2)*d_{i_170647,%gam_307209}(p_3)_u^(*)*d_{k_170645,%gam_307210}(p_1)_u + (-2)*p_3_%\sigma_459394*gamma_{%\rho_451849,%gam_307220,%gam_307221}*A_{j_170647,+%\rho_451849}(p_4)^(*)*A_{l_170645,+%\sigma_459394}(p_2)*d_{i_170647,%gam_307220}(p_3)_u^(*)*d_{k_170645,%gam_307221}(p_1)_u)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_12*s_23*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_d^2*(m_d^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + 1/2*i*e^2*m_d^2*(s_12 + (-2)*s_23)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
